"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"17",4,"Josh Allen",BUF,"QB1","12","1 out of 5 stars","+6"
"18",4,"Marvin Harrison Jr.",ARI,"WR11","11","3 out of 5 stars","-2"
"19",4,"Mike Evans",TB,"WR12","11","3 out of 5 stars","+10"
"20",4,"Chris Olave",NO,"WR13","12","3 out of 5 stars","-3"
"21",4,"Kyren Williams",LAR,"RB7","6","3 out of 5 stars","-1"
"22",4,"Travis Etienne Jr.",JAC,"RB8","12","2 out of 5 stars","+2"
"23",4,"Drake London",ATL,"WR14","12","4 out of 5 stars","-5"
"24",4,"Nico Collins",HOU,"WR15","14","3 out of 5 stars","-5"
"25",4,"Sam LaPorta",DET,"TE1","5","3 out of 5 stars","+1"
"26",5,"Jalen Hurts",PHI,"QB2","5","2 out of 5 stars","+5"
"27",5,"Isiah Pacheco",KC,"RB9","6","3 out of 5 stars","+11"
"28",5,"Derrick Henry",BAL,"RB10","14","3 out of 5 stars","-3"
"29",5,"Travis Kelce",KC,"TE2","6","3 out of 5 stars","+5"
"30",5,"Deebo Samuel Sr.",SF,"WR16","9","2 out of 5 stars","-8"
"31",5,"De'Von Achane",MIA,"RB11","6","3 out of 5 stars","-10"
"32",5,"DK Metcalf",SEA,"WR17","10","3 out of 5 stars","+3"
"33",5,"DJ Moore",CHI,"WR18","7","4 out of 5 stars","0"
"34",5,"Jaylen Waddle",MIA,"WR19","6","2 out of 5 stars","-6"
"35",5,"Lamar Jackson",BAL,"QB3","14","4 out of 5 stars","+6"
"36",5,"Patrick Mahomes II",KC,"QB4","6","3 out of 5 stars","+4"
"37",5,"Cooper Kupp",LAR,"WR20","6","3 out of 5 stars","-5"
"38",5,"Michael Pittman Jr.",IND,"WR21","14","4 out of 5 stars","-8"
"39",6,"Rachaad White",TB,"RB12","11","5 out of 5 stars","+4"
"40",6,"Amari Cooper",CLE,"WR22","10","3 out of 5 stars","+5"
"41",6,"DeVonta Smith",PHI,"WR23","5","2 out of 5 stars","-4"
"42",6,"Joe Mixon",HOU,"RB13","14","3 out of 5 stars","+9"
"43",6,"Josh Jacobs",GB,"RB14","10","1 out of 5 stars","-4"
"44",6,"Malik Nabers",NYG,"WR24","11","3 out of 5 stars","-2"
"45",6,"George Pickens",PIT,"WR25","9","1 out of 5 stars","+3"
"46",6,"James Cook",BUF,"RB15","12","2 out of 5 stars","+1"
"47",6,"Stefon Diggs",HOU,"WR26","14","3 out of 5 stars","-11"
"48",6,"Tank Dell",HOU,"WR27","14","3 out of 5 stars","+6"
"49",6,"Zay Flowers",BAL,"WR28","14","3 out of 5 stars","-3"
"50",6,"Mark Andrews",BAL,"TE3","14","3 out of 5 stars","-1"
"51",6,"Kenneth Walker III",SEA,"RB16","10","4 out of 5 stars","+4"
"52",6,"C.J. Stroud",HOU,"QB5","14","2 out of 5 stars","+5"
"53",6,"Trey McBride",ARI,"TE4","11","5 out of 5 stars","-9"
"54",6,"Tee Higgins",CIN,"WR29","12","2 out of 5 stars","-4"
"55",7,"Anthony Richardson",IND,"QB6","14","5 out of 5 stars","-2"
"56",7,"Christian Kirk",JAC,"WR30","12","4 out of 5 stars","0"
"57",7,"Alvin Kamara",NO,"RB17","12","5 out of 5 stars","+1"
"58",7,"Joe Burrow",CIN,"QB7","12","2 out of 5 stars","+12"
"59",7,"Terry McLaurin",WAS,"WR31","14","3 out of 5 stars","+1"
"60",7,"Aaron Jones",MIN,"RB18","6","3 out of 5 stars","+6"
"61",7,"Chris Godwin",TB,"WR32","11","3 out of 5 stars","+1"
"62",7,"Keenan Allen",CHI,"WR33","7","4 out of 5 stars","-3"
"63",7,"Calvin Ridley",TEN,"WR34","5","4 out of 5 stars","+2"
"64",7,"Kyler Murray",ARI,"QB8","11","2 out of 5 stars","+8"
"65",7,"James Conner",ARI,"RB19","11","2 out of 5 stars","+16"
"66",7,"Dak Prescott",DAL,"QB9","7","2 out of 5 stars","+5"
"67",7,"Dalton Kincaid",BUF,"TE5","12","2 out of 5 stars","-15"
"68",7,"David Montgomery",DET,"RB20","5","3 out of 5 stars","+8"
"69",7,"Rhamondre Stevenson",NE,"RB21","14","2 out of 5 stars","-6"
"70",7,"Zamir White",LV,"RB22","10","3 out of 5 stars","+10"
"71",8,"Jayden Reed",GB,"WR35","10","4 out of 5 stars","-7"
"72",8,"Najee Harris",PIT,"RB23","9","4 out of 5 stars","-3"
"73",8,"George Kittle",SF,"TE6","9","4 out of 5 stars","+1"
"74",8,"Diontae Johnson",CAR,"WR36","11","5 out of 5 stars","+5"
"75",8,"Jordan Love",GB,"QB10","10","5 out of 5 stars","0"
"76",8,"Brock Purdy",SF,"QB11","9","2 out of 5 stars","+17"
"77",8,"Hollywood Brown",KC,"WR37","6","3 out of 5 stars","-10"
"78",8,"DeAndre Hopkins",TEN,"WR38","5","4 out of 5 stars","0"
"79",8,"Tony Pollard",TEN,"RB24","5","3 out of 5 stars","+11"
"80",8,"D'Andre Swift",CHI,"RB25","7","2 out of 5 stars","-3"
"81",8,"Zack Moss",CIN,"RB26","12","3 out of 5 stars","+3"
"82",8,"Raheem Mostert",MIA,"RB27","6","3 out of 5 stars","+7"
"83",8,"Kyle Pitts",ATL,"TE7","12","3 out of 5 stars","-22"
"84",8,"Jaylen Warren",PIT,"RB28","9","4 out of 5 stars","-1"
"85",8,"Rashee Rice",KC,"WR39","6","3 out of 5 stars","-12"
"86",8,"Evan Engram",JAC,"TE8","12","3 out of 5 stars","-18"
"87",8,"Jayden Daniels",WAS,"QB12","14","3 out of 5 stars","+9"
"88",8,"Devin Singletary",NYG,"RB29","11","3 out of 5 stars","+10"
"89",8,"Jordan Addison",MIN,"WR40","6","3 out of 5 stars","-4"
